145,Autant en emporte le vent,2003,French musical,Gérard Presgurvic,Presgurvic,,Based on the novel Gone with the Wind,https://en.wikipedia.org/wiki/Autant_en_emporte_le_vent
146,Avenue Q,2003,Broadway,Robert Lopez and Jeff Marx,Lopez and Marx,Jeff Whitty,"Notable songs: ""It Sucks to Be Me"", ""Everyone's a Little Bit Racist"" and ""There's a Fine, Fine Line"".",https://en.wikipedia.org/wiki/Avenue_Q
147,Babes in Arms,1937,Broadway,Richard Rodgers,Lorenz Hart,Rodgers and Hart,"Notable songs: ""Where or When"", ""My Funny Valentine"", ""The Lady Is a Tramp"", ""Johnny One Note"" and ""I Wish I Were in Love Again"".",https://en.wikipedia.org/wiki/Babes_in_Arms
148,Babes in Toyland,1903,Broadway,Victor Herbert,Glen MacDonough,MacDonough,,https://en.wikipedia.org/wiki/Babes_in_Toyland_(operetta)
149,Babes on Broadway,1941,Musical film,Burton Lane and Roger Edens,E.Y. Harburg and Ralph Freed,,,https://en.wikipedia.org/wiki/Babes_on_Broadway
150,Babette,1903,Broadway,Victor Herbert,Harry B. Smith,Smith,,
151,Baby,1983,Broadway,David Shire,"Richard Maltby, Jr.",Sybille Pearson,,https://en.wikipedia.org/wiki/Baby_(musical)
152,Baby It's You!,2011,Broadway,Various Artists,Various Artists,Floyd Mutrox and Colin Escott,,https://en.wikipedia.org/wiki/Baby_It%27s_You!
153,Baby Talk (Musical),2000,Neuköllner Opera,Thomas Zaufke,Peter Lund,,Das Kinder-Krieg Musical,https://en.wikipedia.org/w/index.php?title=Baby_Talk_(Musical)&action=edit&redlink=1
154,Bad Girls: The Musical,2006,West End,Kath Gotts,Gotts,Maureen Chadwick and Ann McManus,Based on the ITV1 television series Bad Girls.,https://en.wikipedia.org/wiki/Bad_Girls:_The_Musical
155,Back to the 80's,2004,Australian musical,Neil Gooding,Gooding,Gooding,,https://en.wikipedia.org/wiki/Back_to_the_80s_(musical)
156,Bad Habits of 1926,1926,Broadway revue,Manning Sherwin,"Arthur Herzog, Jr.",N/A,,
157,Bajour,1964,Broadway,Walter Marks,Marks,Ernest Kinoy,"Based on Joseph Mitchell's short stories, The Gypsy Women and The King of the Gypsies.",https://en.wikipedia.org/wiki/Bajour_(musical)
158,Baker Street,1965,Broadway,"Marian Grudeff, Raymond Jessel and Jerry Bock","Grudeff, Jessel and Sheldon Harnick",Jerome Coopersmith,,https://en.wikipedia.org/wiki/Baker_Street_(musical)
159,The Baker's Wife,1989,West End,Stephen Schwartz,Schwartz,Joseph Stein,"Aimed at a Broadway run in 1976, but closed during try-outs.",https://en.wikipedia.org/wiki/The_Baker%27s_Wife
160,The Balkan Princess,1910,West End,Paul Rubens,Rubens and Arthur Wimperis,Frederick Lonsdale and Frank Curzon,,https://en.wikipedia.org/wiki/The_Balkan_Princess
161,Ball im Savoy,1932,German operetta,Paul Abraham,Alfred Grünwald and Fritz Löhner-Beda,Abraham,,https://en.wikipedia.org/wiki/Ball_im_Savoy
162,Ballad for Bimshire,1963,Off-Broadway,Irving Burgie,Burgie,Burgie and Loften Mitchell,,
163,Ballroom,1978,Broadway,Billy Goldenberg,Alan Bergman and Marilyn Bergman,Jerome Kass,,https://en.wikipedia.org/wiki/Ballroom_(musical)
164,Bambi,1942,Animated film,Frank Churchill and Edward H. Plumb,Churchill and Plumb,Larry Morey,,https://en.wikipedia.org/wiki/Bambi
165,Band Geeks,2014,Off-Off-Broadway,Tommy Newman and Mark Allen,Newman and Gaby Alter,Alter,,https://en.wikipedia.org/w/index.php?title=Band_Geeks_(musical)&action=edit&redlink=1
166,Band Waggon,1940,Musical film,Various artists,Various artists,,,https://en.wikipedia.org/wiki/Band_Waggon_(film)
167,The Band Wagon,1931,Broadway revue,Arthur Schwartz,Howard Dietz,N/A,"Notable songs: ""I Love Louisa"", ""Hoops"" and ""Dancing in the Dark"".",https://en.wikipedia.org/wiki/The_Band_Wagon
168,Bandanna Land,1908,Broadway,Will Marion Cook,Jesse A. Shipp and Alex Rogers,Shipp and Rogers,,
169,Banjo Eyes,1941,Broadway,Vernon Duke,John La Touche and Harold Adamson,Joseph Quinlan and Izzy Ellinson,,https://en.wikipedia.org/wiki/Banjo_Eyes
170,Bar Mitzvah Boy,1978,West End,Jule Styne,Don Black,Jack Rosenthal,,https://en.wikipedia.org/wiki/Bar_Mitzvah_Boy_(musical)
171,Barbarella,2004,Austrian musical,Dave Stewart,Stewart,Stewart,Based on the 1968 film.,https://en.wikipedia.org/wiki/Barbarella_(musical)
172,Bare: A Pop Opera,2000,Off-Broadway,Damon Intrabartolo,"Jon Hartmere, Jr.","Intrabartolo and Hartmere, Jr.","Notable song: ""Portrait of a Girl"".",https://en.wikipedia.org/wiki/Bare:_A_Pop_Opera
173,Bare Facts of 1926,1926,Broadway revue,Charles M. Schwab,Henry Myers,Stuart Hamill,,
174,Barefoot Boy with Cheek,1947,Broadway,Sidney Lippman,Sylvia Dee,Max Shulman,,
