252,Tyne Daly,http://en.wikipedia.org/wiki/Tyne_Daly
253,Jennifer Damiano,http://en.wikipedia.org/wiki/Jennifer_Damiano
254,Stuart Damon,http://en.wikipedia.org/wiki/Stuart_Damon
255,Lili Damita,http://en.wikipedia.org/wiki/Lili_Damita
256,Dorothy Dandridge,http://en.wikipedia.org/wiki/Dorothy_Dandridge
257,Merle Dandridge,http://en.wikipedia.org/wiki/Merle_Dandridge
258,Jason Danieley,http://en.wikipedia.org/wiki/Jason_Danieley
259,Billy Daniels,http://en.wikipedia.org/wiki/Billy_Daniels
260,Blythe Danner,http://en.wikipedia.org/wiki/Blythe_Danner
261,Severn Darden,http://en.wikipedia.org/wiki/Severn_Darden
262,Howard Da Silva,http://en.wikipedia.org/wiki/Howard_Da_Silva
263,Mara Davi,http://en.wikipedia.org/wiki/Mara_Davi
264,John Davidson,http://en.wikipedia.org/wiki/John_Davidson_(entertainer)
265,Erin Davie,http://en.wikipedia.org/wiki/Erin_Davie
266,Marion Davies,http://en.wikipedia.org/wiki/Marion_Davies
267,Bette Davis,http://en.wikipedia.org/wiki/Bette_Davis
268,Clifton Davis,http://en.wikipedia.org/wiki/Clifton_Davis
269,Elizabeth A. Davis,http://en.wikipedia.org/wiki/Elizabeth_A._Davis
270,Frenchie Davis,http://en.wikipedia.org/wiki/Frenchie_Davis
271,Ossie Davis,http://en.wikipedia.org/wiki/Ossie_Davis
272,"Sammy Davis, Jr.",http://en.wikipedia.org/wiki/Sammy_Davis_Jr.
273,Rachel deBenedet,http://en.wikipedia.org/wiki/Rachel_deBenedet
274,Yvonne De Carlo,http://en.wikipedia.org/wiki/Yvonne_De_Carlo
275,Billy De Wolfe,http://en.wikipedia.org/wiki/Billy_De_Wolfe
276,Diana DeGarmo,http://en.wikipedia.org/wiki/Diana_DeGarmo
277,Gloria DeHaven,http://en.wikipedia.org/wiki/Gloria_DeHaven
278,Robin de Jess,http://en.wikipedia.org/wiki/Robin_de_Jes%C3%BAs
279,Lea DeLaria,http://en.wikipedia.org/wiki/Lea_DeLaria
280,Judi Dench,http://en.wikipedia.org/wiki/Judi_Dench
281,Cleavant Derricks,http://en.wikipedia.org/wiki/Cleavant_Derricks_(actor)
282,Andre DeShields,http://en.wikipedia.org/wiki/Andre_DeShields
283,Gaby Deslys,http://en.wikipedia.org/wiki/Gaby_Deslys
284,Loretta Devine,http://en.wikipedia.org/wiki/Loretta_Devine
285,Karla DeVito,http://en.wikipedia.org/wiki/Karla_DeVito
286,Chris Diamantopoulos,http://en.wikipedia.org/wiki/Chris_Diamantopoulos
287,Joan Diener,http://en.wikipedia.org/wiki/Joan_Diener
288,Daveed Diggs,http://en.wikipedia.org/wiki/Daveed_Diggs
289,Taye Diggs,http://en.wikipedia.org/wiki/Taye_Diggs
290,Phyllis Diller,http://en.wikipedia.org/wiki/Phyllis_Diller
291,Denny Dillon,http://en.wikipedia.org/wiki/Denny_Dillon
292,Lee Dixon,http://en.wikipedia.org/wiki/Lee_Dixon_(actor)
293,Marcie Dodd,http://en.wikipedia.org/wiki/Marcie_Dodd
294,Colman Domingo,http://en.wikipedia.org/wiki/Colman_Domingo
295,Stephen Douglass,http://en.wikipedia.org/wiki/Stephen_Douglass
296,Bruce Dow,http://en.wikipedia.org/wiki/Bruce_Dow
297,Eddie Dowling,http://en.wikipedia.org/wiki/Eddie_Dowling
298,Matt Doyle,http://en.wikipedia.org/wiki/Matt_Doyle_(actor)
299,Alfred Drake,http://en.wikipedia.org/wiki/Alfred_Drake
300,Paul Draper,http://en.wikipedia.org/wiki/Paul_Draper_(dancer)
301,Marie Dressler,http://en.wikipedia.org/wiki/Marie_Dressler
302,Haylie Duff,http://en.wikipedia.org/wiki/Haylie_Duff
303,Isadora Duncan,http://en.wikipedia.org/wiki/Isadora_Duncan
304,Sandy Duncan,http://en.wikipedia.org/wiki/Sandy_Duncan
305,Irene Dunne,http://en.wikipedia.org/wiki/Irene_Dunne
306,Christopher Durang,http://en.wikipedia.org/wiki/Christopher_Durang
307,Jimmy Durante,http://en.wikipedia.org/wiki/Jimmy_Durante
308,Nancy Dussault,http://en.wikipedia.org/wiki/Nancy_Dussault
309,Ronnie Dyson,http://en.wikipedia.org/wiki/Ronnie_Dyson
