203,Belles belles belles,2003,French musical,"Daniel Moyne, Jean-Pierre Bourtayre",Jukebox musical based on songs by Claude François.,https://en.wikipedia.org/wiki/Belles_belles_belles_(musical)
204,La belle Hélène,1864,Paris opera bouffe,Offenbach,,https://en.wikipedia.org/wiki/La_belle_H%C3%A9l%C3%A8ne
205,La Belle Meunière,1948,Musical film,Marcel Pagnol,,
206,The Belle of Brittany,1908,Opera,Leedham Bantock and P.J. Barrow,,
207,The Belle of New York,1897,Broadway,Morton,,https://en.wikipedia.org/wiki/The_Belle_of_New_York_(musical)
208,Belle of the Nineties,1934,Musical film,Mae West,,https://en.wikipedia.org/wiki/Belle_of_the_Nineties
209,Belle of the Yukon,1944,Musical film,Houston Branch,,https://en.wikipedia.org/wiki/Belle_of_the_Yukon
210,Bells Are Ringing,1956,Broadway,Comden and Green,A film was released in 1960.,https://en.wikipedia.org/wiki/Bells_Are_Ringing_(musical)
211,Belmont Varieties,1932,Broadway revue,N/A,,
212,The Beloved Vagabond,1936,Musical film,William John Locke,,https://en.wikipedia.org/wiki/The_Beloved_Vagabond_(1936_film)
213,Ben Franklin in Paris,1964,Broadway,Michaels,,https://en.wikipedia.org/wiki/Ben_Franklin_in_Paris
214,Bend It Like Beckham the Musical,2015,West End,Gurinder Chadha and Paul Mayeda Berges,,https://en.wikipedia.org/wiki/Bend_It_Like_Beckham_the_Musical
215,Bernarda Alba,2006,Off-Broadway,LaChiusa,,https://en.wikipedia.org/wiki/Bernarda_Alba_(musical)
216,Bernardine,1957,Musical film,Mary Chase and Theodore Reeves,,https://en.wikipedia.org/wiki/Bernardine_(film)
217,Besame Mucho El Musical,2005,Mexican Jukebox musical,"Consuelo Garrido, Lorena Maza and Victor Weinstock",Based on Bolero songs of the 1920s Mexico.,https://en.wikipedia.org/wiki/Besame_Mucho_El_Musical
218,Best Foot Forward,1941,Broadway,John Cecil Holm,,https://en.wikipedia.org/wiki/Best_Foot_Forward_(musical)
219,The Best Little Whorehouse Goes Public,1994,Broadway,Larry L. King and Peter Masterson,,https://en.wikipedia.org/wiki/The_Best_Little_Whorehouse_Goes_Public
220,The Best Little Whorehouse in Texas,1978,Broadway,Larry L. King and Peter Masterson,,https://en.wikipedia.org/wiki/The_Best_Little_Whorehouse_in_Texas
221,The Best Things in Life Are Free,1956,Musical film,William Bowers and Phoebe Ephron,,https://en.wikipedia.org/wiki/The_Best_Things_in_Life_Are_Free_(film)
222,Betjemania,1976,West End,David Benedictus and Gould,,
223,Bette Midler's Clams on the Half Shell,1975,Broadway revue,"Bruce Vilanch, Bill Hennessy and Jerry Blatt",,
224,Bette! Divine Madness,1979,Broadway revue,"Jerry Blatt, Bette Midler and Bruce Vilanch",,https://en.wikipedia.org/wiki/Divine_Madness_(film)
225,The Better 'Ole,1917,West End,Bruce Bairnsfather and Arthur Elliot,,https://en.wikipedia.org/wiki/The_Better_%27Ole
226,Better Tunes,1922,Broadway revue,,,
227,Betty,1915,West End,Frederick Lonsdale and Gladys Unger,,https://en.wikipedia.org/wiki/Betty_(musical)
228,Betty Blue Eyes,2011,West End,Ron Cowen and Daniel Lipman,Based on A Private Function by Alan Bennett and Malcolm Mowbray.,https://en.wikipedia.org/wiki/Betty_Blue_Eyes
229,Between the Devil,1937,Broadway,Dietz,,https://en.wikipedia.org/wiki/Between_the_Devil
230,Betwixt!,2008,Off West End,Mcfarlane,,https://en.wikipedia.org/wiki/Betwixt!
